DocID	SchoolID
1	1
2	1
3	2
4	1
5	1
6	2
7	1
8	1
9	1
10	1
11	-1
12	1
13	1
14	1
15	1
16	1
17	0
18	1
19	1
20	0
21	0
22	1
23	1
24	1
25	2
26	1
27	1
28	2
29	2
30	0
31	1
32	1
33	1
34	2
35	0
36	1
37	2
38	1
39	2
40	2
41	2
42	2
43	1
44	1
45	2
46	0
47	2
48	1
49	1
50	1
51	2
52	2
53	1
54	1
55	1
56	1
57	1
58	2
59	1
60	2
61	1
62	1
63	1
64	1
65	1
66	1
67	2
68	0
69	1
70	1
71	2
72	1
73	1
74	1
75	2
76	1
77	1
78	0
79	2
80	1
81	1
82	1
83	1
84	0
85	0
86	1
87	1
88	2
89	1
90	1
91	0
92	0
93	1
94	1
95	1
96	1
97	1
98	0
99	1
100	2
101	0
102	2
103	0
104	1
105	1
106	1
107	1
108	2
109	1
110	1
111	2
112	0
113	2
114	1
115	1
116	1
117	2
118	1
119	1
120	1
121	1
122	0
123	1
124	1
125	1
126	1
127	2
128	1
129	1
130	2
131	0
132	1
133	2
134	1
135	1
136	1
137	1
138	1
139	2
140	1
141	1
142	1
143	0
144	1
145	2
146	1
147	0
148	1
149	1
150	1
151	1
152	1
153	1
154	2
155	1
156	1
157	1
158	1
159	2
160	2
161	2
162	1
163	2
164	0
165	0
166	1
167	0
168	1
169	2
170	1
171	1
172	1
173	1
174	0
175	2
176	1
177	1
178	2
179	2
180	1
181	0
182	2
183	1
184	1
185	0
186	1
187	0
188	2
189	2
190	0
191	1
192	1
193	1
194	1
195	0
196	1
197	2
198	0
199	0
200	1
201	1
202	1
203	1
204	0
205	1
206	0
207	1
208	2
209	1
210	2
211	2
212	1
213	1
214	0
215	0
216	0
217	1
218	1
219	1
220	1
221	1
222	1
223	0
224	0
225	1
226	0
227	2
228	2
229	2
230	0
231	0
232	0
233	2
234	1
235	1
236	1
237	0
238	1
239	1
240	2
241	1
242	0
243	1
244	0
245	1
246	1
247	1
248	2
249	1
250	1
251	1
252	1
253	1
254	2
255	2
256	2
257	0
258	2
259	1
260	1
261	2
262	1
263	2
264	1
265	1
266	2
267	0
268	1
269	0
270	2
271	2
272	1
273	0
274	2
275	1
276	1
277	1
278	2
279	1
280	1
281	0
282	2
283	1
284	1
285	1
286	1
287	1
288	2
289	1
290	1
291	1
292	0
293	1
294	1
295	1
296	0
297	1
298	2
299	1
300	0
301	1
302	2
303	1
304	1
305	1
306	0
307	1
308	1
309	0
310	1
311	1
312	1
313	1
314	2
315	1
316	1
317	0
318	1
319	1
320	1
321	1
322	1
323	1
324	0
325	1
326	0
327	2
328	2
329	2
330	1
331	0
332	2
333	1
334	2
335	0
336	2
337	1
338	-1
339	2
340	1
341	1
342	1
343	2
344	1
345	0
346	2
347	1
348	2
349	1
350	0
351	1
352	2
353	0
354	1
355	1
356	1
357	1
358	1
359	1
360	1
361	2
362	1
363	2
364	0
365	1
366	2
367	1
368	0
369	0
370	1
371	1
372	1
373	1
374	2
375	1
376	1
377	1
378	1
379	2
380	1
381	1
382	0
383	1
384	0
385	2
386	1
387	2
388	1
389	1
390	2
391	1
392	1
393	1
394	1
395	1
396	2
397	2
398	1
399	0
400	1
401	1
402	1
403	2
404	1
405	2
406	1
407	2
408	2
409	1
410	0
411	1
412	2
413	1
414	1
415	2
416	2
417	1
418	2
419	0
420	2
421	1
422	1
423	1
424	0
425	1
426	1
427	0
428	1
429	0
430	1
431	1
432	2
433	2
434	1
435	0
436	0
437	0
438	1
439	1
440	1
441	0
442	1
443	1
444	2
445	1
446	2
447	1
448	1
449	1
450	1
451	2
452	2
453	0
454	1
455	1
456	2
457	1
458	0
459	1
460	2
461	1
462	1
463	0
464	2
465	1
466	2
467	1
468	1
469	2
470	1
471	1
472	1
473	0
474	1
475	0
476	1
477	1
478	1
479	1
480	1
481	1
482	1
483	2
484	1
485	1
486	1
487	2
488	2
489	0
490	1
491	1
492	0
493	1
494	1
495	1
496	1
497	1
498	1
499	1
500	0
501	1
502	1
503	2
504	1
505	2
506	1
507	1
508	1
509	1
510	1
511	1
512	1
513	1
514	2
515	1
516	0
517	2
518	1
519	2
520	1
521	0
522	2
523	1
524	2
525	1
526	2
527	2
528	1
529	0
530	1
531	2
532	1
533	1
534	1
535	2
536	1
537	1
538	1
539	0
540	0
541	1
542	1
543	1
544	1
545	0
546	2
547	1
548	0
549	1
550	2
551	2
552	1
553	2
554	1
555	1
556	0
557	1
558	2
559	2
560	0
561	-1
562	2
563	1
564	1
565	2
566	1
567	1
568	1
569	1
570	1
571	1
572	2
573	1
574	1
575	2
576	1
577	2
578	1
579	1
580	2
581	0
582	1
583	1
584	1
585	2
586	1
587	1
588	1
589	0
590	1
591	1
592	1
593	0
594	0
595	1
596	1
597	2
598	1
599	1
600	1
